sequence_id,pair_id,split,condition,threshold,weed_detection_count,weed_predicted_track_count,weed_qualifying_track_count,eligible_gt_track_count,track_tp,track_fp,track_fn,track_precision,track_recall,track_f1,track_f1_state,weed_pixel_tp,weed_pixel_fp,weed_pixel_fn,weed_pixel_precision,weed_pixel_recall,weed_pixel_f1,crop_pixel_precision,crop_pixel_recall,crop_pixel_f1,weed_instance_precision,weed_instance_recall,weed_instance_f1,crop_instance_f1
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.05,20,20,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,46028,12697,523174,0.7837888463175819,0.08086408691466299,0.14660302869601086,0.7094888927277758,0.9721228003230076,0.8202967808166479,0.5,0.29411764705882354,0.37037037037037035,0.36507936507936506
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.1,12,12,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,41892,9811,527310,0.8102431193547763,0.07359777372532071,0.13493851716446154,0.7094888927277758,0.9721228003230076,0.8202967808166479,0.6666666666666666,0.23529411764705882,0.3478260869565218,0.36507936507936506
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,6,6,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,35242,7654,533960,0.82156844461022,0.06191475082659583,0.11515149534878402,0.7094888927277758,0.9721228003230076,0.8202967808166479,1.0,0.17647058823529413,0.3,0.36507936507936506
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.5,5,5,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,32397,7178,536805,0.8186228679722046,0.0569165252406,0.10643306169582624,0.7094888927277758,0.9721228003230076,0.8202967808166479,1.0,0.14705882352941177,0.25641025641025644,0.36507936507936506
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.8,5,5,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,32397,7178,536805,0.8186228679722046,0.0569165252406,0.10643306169582624,0.7094888927277758,0.9721228003230076,0.8202967808166479,1.0,0.14705882352941177,0.25641025641025644,0.36507936507936506
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.95,0,0,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,0,0,569202,,0.0,,0.7094888927277758,0.9721228003230076,0.8202967808166479,,0.0,,0.36507936507936506
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,23,23,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,45779,12533,523423,0.785069968445603,0.08042663237304155,0.14590590807535767,0.711725689780032,0.973464293364793,0.8222687680333147,0.43478260869565216,0.29411764705882354,0.3508771929824562,0.3636363636363636
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,11,11,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,37619,8334,531583,0.8186407851500446,0.06609077269580922,0.12230738594338011,0.711725689780032,0.973464293364793,0.8222687680333147,0.5454545454545454,0.17647058823529413,0.26666666666666666,0.3636363636363636
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,5,5,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,32336,6788,536866,0.826500357836622,0.056809357662130494,0.10631141854860716,0.711725689780032,0.973464293364793,0.8222687680333147,1.0,0.14705882352941177,0.25641025641025644,0.3636363636363636
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.5,5,5,0,2,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator,32336,6788,536866,0.826500357836622,0.056809357662130494,0.10631141854860716,0.711725689780032,0.973464293364793,0.8222687680333147,1.0,0.14705882352941177,0.25641025641025644,0.3636363636363636
